rank,model,author,2026-W38,2026-W37,2026-W36,2026-W35,2026-W34,2026-W33,2026-W32,2026-W31,2026-W30,2026-W29,2026-W28,2026-W27,2026-W26,2026-W25,2026-W24,2026-W22,2026-W21
1,GPT-5.6 Luna,openai,18.2T(1),12.9T(2),7.79T(4),4.91T(6),5.31T(3),4.43T(5),1.95T(8),,,,,,,,,,
2,Hy4 preview,tencent,16.8T(2),14.7T(1),,,,,,,,,,,,,,,
3,GLM 5.3 Flash,z-ai,11.9T(3),12.4T(3),,,,,,,,,,,,,,,
4,DeepSeek V4 Flash 0731,deepseek,11.6T(4),12.4T(4),12.3T(2),11.6T(1),11.2T(1),8.83T(1),,,,,,,,,,,
5,MiMo-V2.5,xiaomi,7.77T(5),2.35T(10),9.14T(3),9.94T(3),3.79T(6),5.39T(4),6.3T(2),10.5T(1),9.2T(2),5.95T(2),4.38T(2),4.48T(2),3.94T(2),3.59T(4),2.19T(4),1.7T(6),421.0B(19)
7,DeepSeek V4 Flash 0423,deepseek,4.36T(7),5.19T(5),5.2T(8),5.46T(5),4.83T(4),5.88T(3),,,,,,,,,,,
8,Hy3,tencent,3.8T(8),3.99T(7),6.66T(5),8.21T(4),9.95T(2),8.05T(2),4.82T(3),3.94T(3),,,,,,,,,
9,Nemotron 3 Ultra (free),nvidia,3.56T(9),3.64T(8),5.33T(7),4.75T(7),2.14T(10),2.41T(8),2.43T(6),2.34T(6),3.07T(6),2.04T(8),977.0B(12),715.0B(15),629.0B(17),794.0B(12),,,
10,Gemini 3.8 Flash,google,2.56T(10),,,,,,,,,,,,,,,,
11,GLM 5.3,z-ai,2.52T(11),3.02T(9),1.33T(19),,,,,,,,,,,,,,
12,Muse Spark 1.3 Contributor,meta,1.98T(12),,,,,,,,,,,,,,,,
13,GLM 5.2,z-ai,1.73T(13),2.35T(11),2.99T(11),3.42T(8),4.33T(5),3.49T(6),2.89T(5),3.29T(4),3.65T(5),3.19T(5),2.58T(5),2.11T(7),,,,,
14,Solar Pro 4,upstage,1.71T(14),1.21T(20),,,,,,,,,,,,,,,
15,GPT-5.6 Sol,openai,1.64T(15),1.88T(14),1.7T(14),1.32T(15),706.0B(20),,,,,,,,,,,,
16,Kimi K3,moonshotai,1.47T(16),1.98T(13),1.57T(15),1.32T(14),1.41T(13),1.35T(12),1.42T(10),1.23T(11),,,,,,,,,
17,MiniMax M3,minimax,1.46T(17),1.45T(16),1.52T(16),1.7T(11),1.53T(12),1.7T(11),1.96T(7),2.05T(7),3.76T(4),4.26T(4),4.11T(3),3.74T(3),3.77T(3),4.32T(2),,,
18,Claude Sonnet 5,anthropic,1.38T(18),1.33T(17),1.2T(20),1.08T(16),1.08T(14),1.05T(15),1.01T(13),1.04T(12),1.06T(10),923.0B(13),,,,,,,
19,DeepSeek V4 Pro 0423,deepseek,1.31T(19),1.25T(19),1.77T(13),1.85T(9),2.74T(7),,,,,,,,,,,,
20,Claude Opus 5,anthropic,1.24T(20),1.78T(15),1.46T(17),1.46T(13),2.67T(8),1.32T(13),981.0B(16),,,,,,,,,,
,DeepSeek V4 Flash,deepseek,,,,,,,7.22T(1),6.37T(2),5.35T(3),5.22T(3),5.34T(1),4.66T(1),4.94T(1),4.41T(1),3.69T(1),3.11T(1),3.53T(1)
,Hy3 preview,tencent,,,,,,,,,,,3.13T(4),3.36T(5),3.63T(4),4.14T(3),2.94T(2),3.03T(2),3.11T(2)
,Claude Opus 4.7,anthropic,,,,,,,,926.0B(14),2.16T(8),2.26T(7),2.19T(7),2.34T(6),2.53T(7),2.34T(6),1.44T(8),2.32T(3),2.64T(3)
,Claude Sonnet 4.6,anthropic,,,,,736.0B(18),841.0B(17),998.0B(14),783.0B(15),907.0B(12),995.0B(11),1.43T(10),1.53T(10),1.54T(9),2.13T(7),1.76T(6),1.92T(4),2.05T(4)
,Owl Alpha,openrouter,,,,,,,,,,,771.0B(14),3.47T(4),2.56T(5),2.47T(5),1.95T(5),1.66T(5),1.38T(5)
,DeepSeek V4 Pro,deepseek,,,,,,2.61T(7),3.28T(4),3.17T(5),2.68T(7),2.83T(6),2.36T(6),2.04T(8),2.53T(6),1.96T(8),1.7T(7),1.25T(7),1.21T(6)
,Gemini 3 Flash Preview,google,,,,861.0B(20),839.0B(17),899.0B(16),983.0B(15),975.0B(13),943.0B(11),937.0B(12),931.0B(13),905.0B(13),944.0B(14),980.0B(11),1.05T(11),952.0B(10),1.01T(7)
,DeepSeek V3.2,deepseek,,,,,,,,,,,,734.0B(14),989.0B(13),1.15T(10),1.17T(9),1.04T(9),961.0B(8)
,MiMo-V2.5-Pro,xiaomi,,,,,,,595.0B(19),598.0B(18),595.0B(16),606.0B(16),557.0B(18),487.0B(19),,504.0B(18),674.0B(13),1.24T(8),819.0B(9)
,Nemotron 3 Super (free),nvidia,,,,,,,,,,,,,,,534.0B(17),668.0B(11),662.0B(10)
,Gemini 2.5 Flash Lite,google,,,,,712.0B(19),619.0B(20),653.0B(18),665.0B(16),570.0B(18),561.0B(17),602.0B(16),629.0B(16),680.0B(16),682.0B(14),594.0B(15),576.0B(12),626.0B(11)
,Kimi K2.6,moonshotai,,,,,,,,,,,,421.0B(20),579.0B(20),,,552.0B(13),620.0B(12)
,Gemini 2.5 Flash,google,,,,,,,,628.0B(17),595.0B(17),612.0B(15),599.0B(17),554.0B(18),621.0B(18),626.0B(15),631.0B(14),532.0B(15),540.0B(13)
,MiniMax M2.7,minimax,,,,,,,,,,,,,,,,526.0B(18),538.0B(14)
,Gemini 3.5 Flash,google,,,,,,,,,,,,,,470.0B(20),487.0B(18),528.0B(17),520.0B(15)
,GPT-4o-mini,openai,,,,,,,,,,,,,,,,481.0B(19),495.0B(16)
,GPT-5.5,openai,,,,,,,,,645.0B(14),873.0B(14),1.13T(11),1.07T(12),996.0B(11),,443.0B(20),473.0B(20),468.0B(17)
,Claude Opus 4.6,anthropic,,,,,,,,,,,,,,,458.0B(19),540.0B(14),457.0B(18)
,Laguna M.1 (free),poolside,,,,,,,,,597.0B(15),544.0B(18),720.0B(15),611.0B(17),,608.0B(16),568.0B(16),531.0B(16),403.0B(20)
